dataset,model,score,hyperparameters,iteration
iris,KNN,0.9867,"{'n_neighbors': 11.0, 'p': 1, 'weights': 1}",36
iris,RandomForest,0.9667,"{'bootstrap': 0, 'max_depth': 38.0, 'min_samples_leaf': 1.0, 'min_samples_split': 2.0, 'n_estimators': 1498.0}",1
iris,XGBoost,0.9667,"{'colsample_bytree': 0.6486170501967776, 'learning_rate': 0.18179776743845658, 'max_depth': 2.0, 'n_estimators': 367.0, 'subsample': 0.5940318794732153}",3
digits,KNN,0.9672,"{'n_neighbors': 2.0, 'p': 1, 'weights': 0}",20
digits,RandomForest,0.9388,"{'bootstrap': 0, 'max_depth': 45.0, 'min_samples_leaf': 1.0, 'min_samples_split': 4.0, 'n_estimators': 1029.0}",19
digits,XGBoost,0.9421,"{'colsample_bytree': 0.5935734181220647, 'learning_rate': 0.26360713069145025, 'max_depth': 9.0, 'n_estimators': 775.0, 'subsample': 0.5286301081783816}",38
wine,KNN,0.8094,"{'n_neighbors': 1.0, 'p': 0, 'weights': 1}",35
wine,RandomForest,0.9833,"{'bootstrap': 1, 'max_depth': 23.0, 'min_samples_leaf': 5.0, 'min_samples_split': 8.0, 'n_estimators': 478.0}",24
wine,XGBoost,0.9722,"{'colsample_bytree': 0.5056677258468711, 'learning_rate': 0.20513796506167026, 'max_depth': 3.0, 'n_estimators': 294.0, 'subsample': 0.5016056799415726}",21
breast_cancer,KNN,0.9385,"{'n_neighbors': 11.0, 'p': 0, 'weights': 1}",3
breast_cancer,RandomForest,0.9684,"{'bootstrap': 1, 'max_depth': 49.0, 'min_samples_leaf': 2.0, 'min_samples_split': 5.0, 'n_estimators': 1668.0}",27
breast_cancer,XGBoost,0.9754,"{'colsample_bytree': 0.9916533879398626, 'learning_rate': 0.03467848009137719, 'max_depth': 11.0, 'n_estimators': 948.0, 'subsample': 0.867849587878843}",11
