,fAsym,fDist,fM3Trans,fM3Long,fAlpha,fLength,fWidth,class
15194,-112.736,271.875,65.3261,-34.9512,56.295,73.9242,56.4758,0
18330,-179.8195,337.0055,-38.16,-246.5407,41.5958,246.5385,57.6978,0
8566,-32.594,163.712,6.2599,-33.4038,5.3885,54.6176,15.0295,1
4217,-14.2318,166.275,-10.6024,-12.648,59.423,21.489,12.3798,1
7792,25.832,233.159,-4.1581,4.0307,26.997,19.2975,9.9982,1
6109,-30.1279,255.986,9.092,8.9282,0.427,22.2351,12.6827,1
18416,9.1845,84.1283,11.756,19.8611,20.0791,27.7395,9.7449,0
1326,14.1348,123.11,7.4413,14.9342,34.976,31.0616,11.0944,1
14146,7.5094,406.997,52.3105,-72.1199,0.9643,79.066,53.9581,0
7561,-60.6188,280.737,-15.61,-17.2116,2.5856,44.2587,17.7969,1
134,-14.6576,114.938,-14.4939,-16.9343,17.1286,18.8734,17.772,1
7479,13.2492,60.9388,8.3499,-3.2605,84.3683,13.0183,10.6743,1
4230,26.6154,182.081,6.0364,-16.5715,13.7763,33.7908,8.9799,1
5224,14.8725,240.216,-0.0762,-8.5355,22.004,12.8534,11.3489,1
1471,-3.135,162.2,-16.0488,-15.6034,21.1247,32.9572,14.8179,1
10073,-1.3323,184.334,-4.9944,7.4065,10.1245,19.7315,7.3964,1
5635,16.0945,248.737,-6.8841,-12.0955,40.633,25.1893,16.6928,1
16269,-174.0459,191.9643,80.8766,-56.5149,4.1574,177.1863,82.2385,0
10601,9.8795,62.5272,-8.738,-3.1041,9.997,27.5268,27.0289,1
4774,19.456,156.563,15.7701,45.8417,1.5204,55.3893,24.3116,1
7475,19.1241,116.013,-15.2901,18.0403,45.296,26.175,19.6693,1
2733,-14.1571,182.217,12.6847,13.1752,85.9814,21.5993,19.7839,1
13723,-57.9887,96.6441,-11.6339,-38.6868,15.6936,48.2208,20.5177,0
700,12.062,199.388,-10.8676,-14.7138,1.318,22.1067,13.7589,1
18329,-35.2034,63.2807,10.8939,-21.0584,19.0248,29.1157,15.4214,0
11581,-77.5131,399.088,21.0606,-34.3062,4.5743,93.1864,28.2204,1
15968,22.2754,84.7015,4.5088,21.2653,77.8227,35.0215,23.4708,0
1443,12.1392,147.634,6.5028,17.8583,29.934,20.7386,12.6304,1
5619,3.472,211.479,-12.8047,53.0803,3.431,50.5321,26.617,1
12227,4.4306,123.864,10.6529,17.961,25.381,23.0065,18.8357,1
3717,-24.5212,157.05,-6.4804,-9.9931,80.8843,21.5605,6.9164,1
11308,35.9359,215.524,7.7807,46.2773,4.447,54.8694,21.6446,1
15407,-108.9723,161.3953,-28.3251,69.2636,52.3764,97.0894,31.8743,0
11908,23.9193,148.192,-6.4868,21.9391,15.0767,32.8146,16.7002,1
1929,-10.2855,172.175,4.3473,12.064,20.7532,26.8903,9.4561,1
13804,19.399,189.3365,-2.4373,15.2565,40.9735,45.6988,11.545,0
2289,34.2738,142.855,-16.7752,60.2148,5.6897,61.4574,18.204,1
13745,-221.0336,333.6983,57.6741,102.9845,51.0941,126.5051,86.495,0
8747,21.209,180.073,4.4635,26.083,8.507,35.4211,15.4772,1
14847,46.1064,167.72,6.8349,30.6781,73.5368,48.4049,8.7651,0
14963,23.5141,158.003,-9.9203,25.8986,81.1257,27.1008,10.5205,0
17242,-37.4065,156.1766,-12.7428,-11.6192,69.3006,23.0957,17.2973,0
8538,2.3145,199.182,6.8383,32.4988,3.264,39.4681,12.1565,1
16242,14.5519,119.617,9.0784,-9.2568,13.451,24.3452,12.5112,0
5720,16.1731,226.592,5.569,37.8449,3.636,43.8482,25.1626,1
12330,96.5758,197.209,11.3764,-41.2969,5.911,56.2216,18.7019,1
10675,-3.2696,211.163,13.5156,-22.6194,5.3662,37.043,18.0751,1
15221,15.0388,227.107,-11.5638,-5.6768,64.933,12.9176,11.3596,0
3253,3.4144,199.632,-10.8519,22.9935,14.9219,33.8423,13.4603,1
18497,-204.767,282.608,36.2939,-40.2249,2.037,143.47,54.3127,0
12171,23.6975,159.443,4.5315,10.5138,16.5079,19.9109,9.3005,1
16032,-12.2029,187.7461,7.368,7.7236,1.8504,22.6188,15.8586,0
11044,4.5969,97.6625,2.913,-10.0317,28.1521,18.9739,7.306,1
14221,-60.923,384.242,66.9737,-88.9152,85.1312,107.996,82.3071,0
7004,-0.9991,217.054,0.1948,6.1629,33.5627,17.3998,11.1244,1
16590,-4.0847,132.207,-10.7587,-24.532,36.659,28.5425,11.917,0
18430,196.946,152.981,-37.5659,-122.698,39.554,160.265,40.1667,0
13503,-17.0574,68.2801,6.6642,-12.5602,86.9934,19.7452,12.6244,0
13477,-87.3914,374.9569,-23.1103,-79.3729,3.7728,101.4977,23.9296,0
17949,-12.4226,231.903,15.6028,21.7948,67.1942,38.5781,17.7868,0
3673,33.8939,240.523,4.938,16.3239,10.347,28.6935,8.5113,1
15297,96.4047,146.937,-13.3411,51.263,3.773,105.43,21.6802,0
12773,3.2818,198.844,4.6075,22.649,76.565,26.1934,11.7379,0
17585,5.0862,197.4573,-11.7063,9.0451,43.7839,19.5688,12.2755,0
3221,27.1041,133.152,-9.7515,21.9944,46.6248,38.2871,16.452,1
10724,21.5222,181.907,-10.9512,18.1083,13.5322,30.865,17.7682,1
18126,11.6485,208.064,33.0563,-147.616,2.4463,144.73,43.9751,0
8549,-63.5667,265.755,13.0937,55.7707,1.9065,71.8457,21.0573,1
12262,-21.8,118.43,-16.289,5.1213,54.3161,29.5172,25.2877,1
17592,-35.9239,327.2723,32.3176,-65.5657,30.8502,97.4612,57.0929,0
11855,-11.4799,245.401,9.7715,-8.769,12.7129,13.0382,9.7539,1
16678,-30.6896,221.497,5.4168,-11.6992,68.844,27.4599,12.6085,0
10021,12.6109,190.147,-7.3042,6.8389,17.1307,18.7125,12.919,1
5920,14.8499,156.879,-11.8944,2.4881,74.796,13.3114,10.6229,1
8048,83.4542,203.78,14.5411,57.6317,3.4898,78.6274,22.6585,1
5074,-18.2298,111.141,3.8586,-20.2218,8.9595,32.3343,11.6189,1
2717,22.9101,165.214,-6.6185,-18.1301,50.266,28.9362,10.8234,1
7003,19.7696,176.299,9.764,18.2868,8.7244,33.5462,21.3973,1
1180,2.8361,122.801,-4.9052,-6.8129,75.817,16.2153,11.6035,1
9523,-116.748,225.424,-15.8379,58.501,6.246,88.2119,23.793,1
15351,-150.222,359.54,-27.6396,-98.3683,28.521,118.276,36.0632,0
14325,-209.1333,166.9123,12.4662,111.3243,61.0441,108.8548,22.8127,0
5497,18.3887,48.9024,-8.64,-11.2188,24.726,23.0503,14.6481,1
12002,-23.1293,86.7946,11.1217,-18.2522,35.6211,22.5329,9.0443,1
6678,-14.9363,36.0846,-3.0105,-18.3235,88.9011,20.7078,11.0466,1
10272,34.6867,164.756,-14.9478,-22.9435,11.7631,33.6825,16.326,1
11219,-25.7705,105.96,6.5541,-5.2903,10.758,21.7031,6.8875,1
734,-0.7341,190.144,6.3507,5.7769,18.0235,18.2452,10.3919,1
10902,-26.8653,316.122,-14.2839,58.577,7.4375,95.9193,24.9227,1
11338,-46.3059,291.69,11.0385,-25.3781,4.1871,56.6302,20.7798,1
2079,0.0,196.27,-9.5652,0.0,22.0884,23.315,0.0,1
10519,6.6444,164.808,9.2754,16.4517,8.4814,25.3993,14.0419,1
13295,10.156,220.145,-4.4243,17.8178,1.935,23.193,10.7379,0
3556,25.6177,155.869,-9.4823,21.2675,4.7156,36.081,14.6095,1
15119,-37.0433,116.807,-5.7148,-67.699,18.5286,70.2993,11.8649,0
4953,-10.747,176.5,-5.0397,27.2159,11.2284,33.2739,12.5474,1
7469,19.0126,238.396,-6.7593,30.1116,19.0052,35.1787,11.1372,1
6715,-61.7435,359.884,16.4733,61.4413,1.987,106.05,33.6443,1
16894,12.2183,223.39,-7.2179,22.5681,64.5405,31.679,10.2589,0
16151,4.1718,219.8536,-6.77,8.5354,62.513,18.2802,10.9045,0
2938,13.1819,175.039,-5.7038,15.4982,29.7506,27.0051,6.6249,1
3893,-54.6553,306.935,-23.7181,56.832,0.432,78.7587,29.1133,1
5598,9.4515,146.986,-10.3147,31.2123,1.5993,40.2136,19.8464,1
2686,23.0595,181.773,12.2109,-19.4631,5.207,37.0123,17.9326,1
10458,20.2552,200.756,-11.5115,20.192,5.762,21.9693,10.1512,1
13722,-3.8804,251.1602,24.9493,-121.4758,37.48,119.6872,49.1045,0
16141,4.5216,134.3067,14.7213,17.88,26.4212,31.1767,2.6499,0
13851,-136.4175,375.454,-49.5526,-65.9178,4.031,106.7976,64.364,0
