,month_dec,month_mar,loan_no,month_may,contact_cellular,campaign,housing_yes,Class
43443,False,False,True,False,True,2,False,0
3952,False,False,True,True,False,2,True,0
14898,False,False,False,False,True,6,False,0
28556,False,False,False,False,True,3,True,0
19916,False,False,True,False,True,4,False,0
34813,False,False,True,True,True,1,True,0
18927,False,False,True,False,True,1,False,0
42586,True,False,True,False,True,2,True,0
2825,False,False,True,True,False,1,True,0
39575,False,False,True,True,True,1,True,0
3078,False,False,True,True,False,1,True,0
12297,False,False,False,False,False,1,False,0
4895,False,False,True,True,False,1,True,0
27594,False,False,True,False,True,4,False,0
31681,False,False,False,False,True,1,True,0
31814,False,False,True,False,True,1,False,0
26033,False,False,True,False,True,2,False,0
17914,False,False,True,False,False,2,False,0
27604,False,False,True,False,True,7,True,0
25080,False,False,True,False,True,1,False,0
18619,False,False,True,False,True,20,False,0
38931,False,False,True,True,True,1,True,0
31587,False,False,False,False,True,1,True,0
39209,False,False,True,True,True,2,True,1
33932,False,False,True,False,True,1,True,0
13731,False,False,True,False,True,4,True,1
44367,False,False,True,False,True,2,False,1
12701,False,False,True,False,True,5,True,0
12424,False,False,True,False,False,4,True,0
16408,False,False,True,False,True,2,True,0
38165,False,False,False,True,True,1,True,0
3639,False,False,True,True,False,12,True,0
38030,False,False,True,True,True,4,True,0
2295,False,False,True,True,False,9,True,0
24985,False,False,True,False,True,1,True,0
18666,False,False,True,False,True,3,True,0
41410,False,False,True,False,True,1,False,1
43977,False,False,True,False,True,1,True,0
19920,False,False,True,False,True,4,False,0
3196,False,False,True,True,False,3,False,0
38769,False,False,True,True,True,3,True,1
5313,False,False,True,True,False,1,True,0
32319,False,False,True,False,True,1,True,0
24978,False,False,True,False,True,1,False,0
8587,False,False,False,False,False,3,True,0
36933,False,False,True,True,False,2,True,0
36164,False,False,True,True,True,1,True,0
27345,False,False,True,False,True,2,True,0
4888,False,False,True,True,False,1,False,0
20697,False,False,True,False,False,8,True,0
40224,False,False,True,False,True,2,False,0
27710,False,False,True,False,True,2,True,0
8290,False,False,True,False,False,8,True,0
44606,False,False,True,False,False,1,False,0
35768,False,False,True,True,True,4,True,0
43609,False,False,True,True,True,1,False,1
13860,False,False,False,False,True,1,False,0
24404,False,False,True,False,True,2,True,0
33180,False,False,False,False,True,6,True,0
19939,False,False,False,False,True,2,False,0
25347,False,False,True,False,True,2,True,0
1710,False,False,True,True,False,1,True,0
41858,False,False,True,False,False,1,False,1
41899,False,False,True,False,True,1,False,1
1019,False,False,True,True,False,3,True,0
28466,False,False,True,False,True,1,False,0
12588,False,False,True,False,False,2,False,0
873,False,False,True,True,False,2,True,0
15487,False,False,True,False,True,7,True,0
26934,False,False,True,False,True,1,False,0
38865,False,False,True,True,True,7,True,0
2836,False,False,True,True,False,1,True,0
5890,False,False,True,True,False,1,True,0
13012,False,False,False,False,True,1,False,0
37575,False,False,True,True,True,8,True,0
29395,False,False,True,False,True,2,True,0
20094,False,False,True,False,True,2,False,0
39795,False,False,True,False,True,1,True,0
27193,False,False,True,False,True,2,True,0
28689,False,False,False,False,True,1,True,1
34126,False,False,True,False,True,3,True,0
1310,False,False,True,True,False,1,True,0
39737,False,False,True,True,True,4,False,0
27961,False,False,False,False,True,1,True,0
39925,False,False,True,False,True,2,False,1
38634,False,False,True,True,True,5,True,0
36580,False,False,False,True,True,2,True,0
14925,False,False,True,False,True,7,False,0
4668,False,False,True,True,False,1,True,0
9195,False,False,True,False,False,2,False,0
4371,False,False,True,True,False,4,True,0
29147,False,False,True,False,True,2,True,0
20361,False,False,True,False,True,4,False,0
7104,False,False,False,True,False,1,True,0
23765,False,False,False,False,True,13,False,0
27496,False,False,False,False,True,5,False,0
42617,False,False,True,False,True,1,False,0
14369,False,False,False,False,True,4,True,0
2861,False,False,True,True,False,1,True,0
5651,False,False,True,True,False,2,True,0
43468,False,False,True,False,False,1,False,1
33860,False,False,True,False,False,5,False,0
41072,False,False,True,False,True,2,True,1
7140,False,False,True,True,False,1,True,0
8217,False,False,True,False,False,4,True,0
5720,False,False,True,True,False,1,True,0
13262,False,False,True,False,True,8,False,0
11928,False,False,True,False,False,6,False,0
1667,False,False,True,True,False,2,True,0
40248,False,False,True,False,True,1,False,0
35714,False,False,True,True,True,1,True,0
43345,False,True,True,False,True,1,False,1
6414,False,False,True,True,False,1,True,0
23263,False,False,True,False,True,5,False,1
21042,False,False,True,False,True,2,False,0
35571,False,False,True,True,True,8,True,0
45193,False,False,True,False,True,2,False,1
29996,False,False,True,False,True,1,True,0
44513,False,False,True,False,True,1,False,1
32284,False,False,True,False,True,1,True,0
4053,False,False,False,True,False,2,True,0
1024,False,False,True,True,False,1,True,0
15746,False,False,True,False,True,1,True,0
24211,False,False,True,False,True,1,False,0
11668,False,False,True,False,False,5,True,0
23771,False,False,False,False,True,1,False,0
13585,False,False,True,False,True,1,True,0
33160,False,False,True,False,True,2,True,0
329,False,False,True,True,False,2,True,0
23712,False,False,False,False,True,10,True,0
19890,False,False,True,False,True,2,False,0
10354,False,False,True,False,False,2,False,0
36475,False,False,True,True,True,2,True,0
41071,False,False,True,False,True,2,True,1
14905,False,False,True,False,True,2,True,1
36463,False,False,True,True,True,2,True,0
6493,False,False,True,True,False,2,True,0
11544,False,False,True,False,False,1,False,0
45029,False,False,True,False,True,4,False,0
43416,False,False,True,False,True,7,True,1
2158,False,False,True,True,False,4,True,0
33274,False,False,True,False,True,1,True,0
3831,False,False,False,True,False,1,True,0
6567,False,False,True,True,False,3,True,0
10953,False,False,True,False,False,2,False,0
29521,False,False,True,False,True,1,False,0
9015,False,False,True,False,False,1,False,0
20611,False,False,True,False,True,4,False,0
32289,False,False,True,False,True,1,True,0
21846,False,False,True,False,True,2,False,0
45144,False,False,True,False,True,1,False,0
14793,False,False,False,False,True,1,True,0
6844,False,False,True,True,False,1,True,0
8609,False,False,True,False,False,2,True,0
40282,False,False,True,False,True,1,True,1
34417,False,False,True,True,True,5,True,0
16038,False,False,True,False,True,1,False,0
28453,False,False,True,False,True,2,False,1
42355,False,False,True,False,True,1,False,0
7563,False,False,True,True,False,1,True,0
28659,False,False,False,False,True,3,False,0
3825,False,False,True,True,False,1,True,0
4049,False,False,True,True,False,2,True,0
4403,False,False,False,True,False,1,False,0
12319,False,False,False,False,False,1,False,0
43684,False,False,True,True,True,1,False,1
8859,False,False,False,False,False,6,True,0
41085,False,False,True,False,True,3,True,1
11813,False,False,True,False,False,2,True,0
38511,False,False,True,True,True,3,True,0
11689,False,False,False,False,False,24,True,0
12908,False,False,True,False,True,5,True,0
23580,False,False,True,False,True,19,False,0
37288,False,False,True,True,True,1,True,0
13237,False,False,False,False,True,1,False,0
35489,False,False,False,True,True,2,True,0
10078,False,False,True,False,False,4,False,0
31310,False,True,True,False,True,4,False,1
37197,False,False,True,True,True,1,True,0
28231,False,False,True,False,True,1,True,0
34817,False,False,False,True,True,1,True,0
4699,False,False,True,True,False,2,False,0
29063,False,False,False,False,True,1,True,0
7723,False,False,True,True,False,4,True,0
24437,False,False,True,False,True,2,False,0
32004,False,False,True,False,True,3,False,0
14528,False,False,True,False,True,4,False,0
24376,False,False,True,False,True,1,True,0
22542,False,False,True,False,True,6,False,0
29213,False,False,False,False,True,2,False,0
2904,False,False,True,True,False,1,True,0
26554,False,False,True,False,True,5,True,0
21544,False,False,True,False,True,2,False,0
4644,False,False,True,True,False,3,True,0
1306,False,False,True,True,False,4,True,0
4590,False,False,True,True,False,1,True,0
23654,False,False,True,False,True,17,False,0
32797,False,False,True,False,True,1,True,0
17184,False,False,True,False,True,11,True,0
9215,False,False,True,False,False,2,False,0
30506,False,False,True,False,True,2,False,0
36168,False,False,True,True,True,5,True,0
44972,False,False,True,False,True,1,False,1
33363,False,False,True,False,True,1,True,0
37952,False,False,False,True,True,6,True,0
28547,False,False,True,False,True,2,True,0
8355,False,False,False,False,False,10,True,0
5699,False,False,True,True,False,1,True,0
17916,False,False,True,False,True,2,False,0
23752,False,False,True,False,False,27,False,0
39036,False,False,True,True,True,1,True,0
39726,False,False,True,True,False,4,False,0
23070,False,False,True,False,True,4,True,0
36869,False,False,True,True,True,3,True,0
21520,False,False,True,False,True,3,False,0
41551,False,False,True,False,True,2,False,0
10541,False,False,True,False,False,1,False,0
34898,False,False,False,True,True,1,True,1
