All Configurations and Scores:
OrderedDict([('model__alpha', 82), ('model__gamma', 4), ('model__lambda', 187), ('model__learning_rate', 0.10158188211124412), ('model__max_depth', 8), ('model__n_estimators', 112), ('model__subsample', 0.675465667449572)]) - Score: 0.8067095588235293
OrderedDict([('model__alpha', 167), ('model__gamma', 4), ('model__lambda', 61), ('model__learning_rate', 0.28585493291206554), ('model__max_depth', 9), ('model__n_estimators', 59), ('model__subsample', 0.5691542691392876)]) - Score: 0.8067095588235293
OrderedDict([('model__alpha', 89), ('model__gamma', 5), ('model__lambda', 21), ('model__learning_rate', 0.1356665125423653), ('model__max_depth', 4), ('model__n_estimators', 118), ('model__subsample', 0.5777240270252717)]) - Score: 0.8067095588235293
OrderedDict([('model__alpha', 162), ('model__gamma', 1), ('model__lambda', 120), ('model__learning_rate', 0.24280178653533005), ('model__max_depth', 7), ('model__n_estimators', 64), ('model__subsample', 0.8779002664179407)]) - Score: 0.8067095588235293
OrderedDict([('model__alpha', 160), ('model__gamma', 2), ('model__lambda', 105), ('model__learning_rate', 0.21755684601103956), ('model__max_depth', 9), ('model__n_estimators', 158), ('model__subsample', 0.712089036230341)]) - Score: 0.8067095588235293
OrderedDict([('model__alpha', 147), ('model__gamma', 5), ('model__lambda', 33), ('model__learning_rate', 0.06464333461197475), ('model__max_depth', 9), ('model__n_estimators', 106), ('model__subsample', 0.7295122570754029)]) - Score: 0.8067095588235293
OrderedDict([('model__alpha', 123), ('model__gamma', 4), ('model__lambda', 72), ('model__learning_rate', 0.26355433564699277), ('model__max_depth', 7), ('model__n_estimators', 139), ('model__subsample', 0.8243887548518629)]) - Score: 0.8067095588235293
OrderedDict([('model__alpha', 109), ('model__gamma', 5), ('model__lambda', 99), ('model__learning_rate', 0.25292036674755275), ('model__max_depth', 5), ('model__n_estimators', 58), ('model__subsample', 0.785388901339449)]) - Score: 0.8067095588235293
OrderedDict([('model__alpha', 191), ('model__gamma', 4), ('model__lambda', 174), ('model__learning_rate', 0.13058811539804152), ('model__max_depth', 6), ('model__n_estimators', 82), ('model__subsample', 0.5000305253763367)]) - Score: 0.8067095588235293
OrderedDict([('model__alpha', 1), ('model__gamma', 4), ('model__lambda', 148), ('model__learning_rate', 0.08382073478057302), ('model__max_depth', 7), ('model__n_estimators', 91), ('model__subsample', 0.6564196531173141)]) - Score: 0.8020220588235294
OrderedDict([('model__alpha', 200), ('model__gamma', 3), ('model__lambda', 47), ('model__learning_rate', 0.22814735438455103), ('model__max_depth', 10), ('model__n_estimators', 50), ('model__subsample', 0.5190422343100688)]) - Score: 0.8067095588235293
OrderedDict([('model__alpha', 40), ('model__gamma', 2), ('model__lambda', 11), ('model__learning_rate', 0.29503932209158135), ('model__max_depth', 3), ('model__n_estimators', 182), ('model__subsample', 0.991861517464374)]) - Score: 0.8055147058823529
OrderedDict([('model__alpha', 1), ('model__gamma', 1), ('model__lambda', 130), ('model__learning_rate', 0.031619997740145796), ('model__max_depth', 4), ('model__n_estimators', 176), ('model__subsample', 0.7071196586749307)]) - Score: 0.8020220588235294
OrderedDict([('model__alpha', 194), ('model__gamma', 4), ('model__lambda', 73), ('model__learning_rate', 0.05722488636620879), ('model__max_depth', 10), ('model__n_estimators', 107), ('model__subsample', 0.8040878132055331)]) - Score: 0.8067095588235293
OrderedDict([('model__alpha', 2), ('model__gamma', 1), ('model__lambda', 45), ('model__learning_rate', 0.15710705844240652), ('model__max_depth', 5), ('model__n_estimators', 152), ('model__subsample', 0.8905235492932069)]) - Score: 0.8036764705882353
OrderedDict([('model__alpha', 133), ('model__gamma', 5), ('model__lambda', 199), ('model__learning_rate', 0.16812573662710903), ('model__max_depth', 7), ('model__n_estimators', 151), ('model__subsample', 0.6727080487186916)]) - Score: 0.8067095588235293
OrderedDict([('model__alpha', 57), ('model__gamma', 5), ('model__lambda', 83), ('model__learning_rate', 0.29184853023193785), ('model__max_depth', 10), ('model__n_estimators', 86), ('model__subsample', 0.5516350246914643)]) - Score: 0.8067095588235293
OrderedDict([('model__alpha', 80), ('model__gamma', 0), ('model__lambda', 0), ('model__learning_rate', 0.10660502165935551), ('model__max_depth', 10), ('model__n_estimators', 50), ('model__subsample', 1.0)]) - Score: 0.8067095588235293
OrderedDict([('model__alpha', 84), ('model__gamma', 5), ('model__lambda', 94), ('model__learning_rate', 0.09175666816019497), ('model__max_depth', 10), ('model__n_estimators', 200), ('model__subsample', 0.574559156827263)]) - Score: 0.8067095588235293
OrderedDict([('model__alpha', 39), ('model__gamma', 3), ('model__lambda', 197), ('model__learning_rate', 0.01499673775123957), ('model__max_depth', 7), ('model__n_estimators', 117), ('model__subsample', 0.6136855081223385)]) - Score: 0.8067095588235293
